!!ObjTables type='Schema' tableFormat='row' name='SBtab' description='sbtab-toolkit schema' date='2019-9-13' objTablesVersion='0.0.8'				
!Name	!Type	!Parent	!Format	!Description
				
Comment	Attribute	Reaction	String	Comment
ReferenceName	Attribute	Reaction	String	Reference title, authors, etc. (as free text)
ReferencePubMed	Attribute	Reaction	String	Reference PubMed ID
ReferenceDOI	Attribute	Reaction	String	Reference DOI
Description	Attribute	Reaction	String	Description of the row element
Modifier	Attribute	Reaction	String	Modifier of this reaction
Name	Attribute	Reaction	String	Entity name
MiriamAnnotations	Attribute	Reaction	String	Entity ID
Type	Attribute	Reaction	String	Biochemical type of entity
Symbol	Attribute	Reaction	String	Short symbol (e.g. gene symbol)
PositionX	Attribute	Reaction	Float	x coordinate for graphical display
PositionY	Attribute	Reaction	Float	y coordinate for graphical display
ID	Attribute	Reaction	String	Reaction shortname
SBML:reaction:id	Attribute	Reaction	String	SBML ID of reaction
ReactionFormula	Attribute	Reaction	LongString	Reaction formula
Location	Attribute	Reaction	String	Compartment for localised reaction
Enzyme	Attribute	Reaction	String	Enzyme catalysing the reaction
Model	Attribute	Reaction	String	Model(s) in which the reaction is involved
Pathway	Attribute	Reaction	String	Pathway(s) in which the reaction is involved
SubreactionOf	Attribute	Reaction	String	Mark as subreaction of a (lumped) reaction
IsComplete	Attribute	Reaction	Boolean	Reaction formula includes all cofactors etc.
IsReversible	Attribute	Reaction	Boolean	Reaction should be treated as irreversible
IsInEquilibrium	Attribute	Reaction	Boolean	Reaction approximately in equilibrium
IsExchangeReaction	Attribute	Reaction	Boolean	Some reactants are left out
Flux	Attribute	Reaction	Float	Metabolic flux through the reaction
IsNonEnzymatic	Attribute	Reaction	Boolean	Non-catalysed reaction
KineticLaw	Attribute	Reaction	LongString	Kinetic law of the reaction
KineticLaw:Name	Attribute	Reaction	String	Name of the kinetic law
KineticLaw:Formula	Attribute	Reaction	String	Rate law formula
Gene	Attribute	Reaction	String	Name of the gene for the catalysing enzyme
Gene:Symbol	Attribute	Reaction	String	Name of the gene for the catalysing enzyme
Operon	Attribute	Reaction	String	Operon for the gene of the catalysing enzyme
Enzyme:SBML:species:id	Attribute	Reaction	String	SBML ID of enzyme
Enzyme:SBML:parameter:id	Attribute	Reaction	String	SBML ID of enzyme
BuildReaction	Attribute	Reaction	Boolean	Include reaction in SBML model
BuildEnzyme	Attribute	Reaction	Boolean	Include enzyme in SBML model
BuildEnzymeProduction	Attribute	Reaction	Boolean	Describe enzyme production in SBML model
SBOTerm	Attribute	Reaction	String	SBO term of the entity
Identifiers	Attribute	Reaction	String	Annotation of the entity
Identifiers:kegg.reaction	Attribute	Reaction	String	Annotation of the entity
Identifiers:obo.sbo	Attribute	Reaction	String	Annotation of the entity
Identifiers:ec-code	Attribute	Reaction	String	Annotation of the entity
SBML:fbc:GeneAssociation	Attribute	Reaction	LongString	Gene Association from the FBC package
SBML:fbc:LowerBound	Attribute	Reaction	String	Reactions Lower Bound of the FBC package
SBML:fbc:UpperBound	Attribute	Reaction	String	Reactions Upper Bound of the FBC package
Regulator	Attribute	Reaction	String	
NameForPlots	Attribute	Reaction	String	
				
Comment	Attribute	Compound	String	Comment
ReferenceName	Attribute	Compound	String	Reference title, authors, etc. (as free text)
ReferencePubMed	Attribute	Compound	String	Reference PubMed ID
ReferenceDOI	Attribute	Compound	String	Reference DOI
Description	Attribute	Compound	String	Description of the row element
Name	Attribute	Compound	String	Entity name
MiriamAnnotations	Attribute	Compound	String	Entity ID
Type	Attribute	Compound	String	Biochemical type of entity
Symbol	Attribute	Compound	String	Short symbol (e.g. gene symbol)
PositionX	Attribute	Compound	Float	x coordinate for graphical display
PositionY	Attribute	Compound	Float	y coordinate for graphical display
ID	Attribute	Compound	String	Compound shortname
SBML:species:id	Attribute	Compound	String	SBML species ID of the entity
SBML:speciestype:id	Attribute	Compound	String	SBML speciestype ID of the entity
InitialValue	Attribute	Compound	Float	Initial amount or concentration
InitialConcentration	Attribute	Compound	Float	Initial amount or concentration
Unit	Attribute	Compound	String	Unit for initial value
Location	Attribute	Compound	String	Compartment for localised entities
State	Attribute	Compound	String	State of the entity
CompoundSumFormula	Attribute	Compound	String	Chemical sum formula
StructureFormula	Attribute	Compound	String	Chemical structure formula
Charge	Attribute	Compound	Integer	Electrical charge number
Mass	Attribute	Compound	Float	Molecular mass
IsConstant	Attribute	Compound	Boolean	Substance with fixed concentrations
EnzymeRole	Attribute	Compound	String	Enzymatic activity
RegulatorRole	Attribute	Compound	String	Regulatory activity
SBOTerm	Attribute	Compound	String	SBO term of the entity
Identifiers	Attribute	Compound	String	Annotation of the entity
